LARGE_CATEGORY_CODE,LARGE_CATEGORY_NAME,MEDIUM_CATEGORY_CODE,DESCRIPTION
1,주거지,A1,불투수성 포장비율이 높은 (70%이상) 단독주택지
1,주거지,A2,불투수성 포장비율이 낮은 (70%이하) 단독주택지
1,주거지,A3,5층 이하의 불투수성 포장비율이 높은 (70%이상) 공동주택지
1,주거지,A4,5층 이하의 불투수성 포장비율이 낮은 (70%이하) 공동주택지
1,주거지,A5,6층~14층의 불투수성 포장비율이 높은 (70%이상) 공동주택지
1,주거지,A6,6층~14층의 불투수성 포장비율이 낮은 (70%이하) 공동주택지
1,주거지,A7,15층 이상의 불투수성 포장비율이 높은 (70%이상) 공동주택지
1,주거지,A8,15층 이상의 불투수성 포장비율이 낮은 (70%이하) 공동주택지
2,상업업무지,B1,5층 이하의 상업업무지
2,상업업무지,B2,6~10층의 상업업무지
2,상업업무지,B3,11층 이상의 상업업무지
3,주상혼합지,AB1,5층 이하의 주거혼합지
3,주상혼합지,AB2,6~14층의 주거혼합지
3,주상혼합지,AB3,15층 이상의 주거혼합지
4,공공용도지,C1,"초, 중, 고교, 대학교"
4,공공용도지,C2,건물이외 일정면적의 비건폐지가 있는 행정기관
4,공공용도지,C3,건물이외 일정면적의 비건폐지가 있는 종합병원 및 요양기관
4,공공용도지,C4,"문화재(화성, 행궁 등)"
4,공공용도지,C5,"박물관, 미술관, 도서관 등 대규모 교육시설"
4,공공용도지,C6,"종합경기장, 건물이외의 비건폐지가 있는 운동시설(광장포함)"
6,공급처리시설지,D1,"상수원관련 시설지(정수장, 배수지, 유수지 등) "
6,공급처리시설지,D2,하수처리관련 시설지
6,공급처리시설지,D3,생활쓰레기 소각 및 발전을 위한 종합시설(자원회수화시설)
6,공급처리시설지,D4,"기타(폐기물 적재지, 재활용품 적재지, 건설폐기물 중간집하장, 청소종합시설 등)"
6,공급처리시설지,D6,기존 발전소 및 변전소
6,공급처리시설지,D7,텔레비전 또는 라디오를 포함한 통신을 위한 송·수신시설
6,공급처리시설지,D8,연화장 등 기타 공급처리 시설지
5,공업지,E1,불투수성 포장비율이 높은 (70%이상) 대규모 공업지
5,공업지,E2,불투수성 포장비율이 낮은 (70%이하) 대규모 공업지
5,공업지,E3,국가 및 주요 대기업이 관리하는 공단지역 및 농공단지를 제외한 공업시설지
5,공업지,E4,"제조업, 지식산업 및 정보통신산업을 영위하는 사업체가 집합되어 있는 지식산업센터"
7,교통시설지,F1,여객 또는 화물을 운송하는 데 필요한 철도차량운송체계
7,교통시설지,F3,"터널, 교량을 포함하는 차도"
7,교통시설지,F6,물리적으로 외부에 노출된 주차장
8,특수지,G1,군사시설
8,특수지,G2,건설 및 공사가 진행되고 있는 지역
9,하천,H1,자연형 하천 수면
9,하천,H2,습지식생이 우점하는 자연형 하천수변
9,하천,H3,건조식생이 우점하는 자연형 하천수변
9,하천,H4,외래식생이 우점하는 자연형 하천수변
9,하천,H5,식생이 없는 자연형 하천수변
9,하천,H6,인공형 하천 수면
9,하천,H7,습지식생이 우점하는 인공형 하천수변
9,하천,H8,건조식생이 우점하는 인공형 하천수변
9,하천,H9,외래식생이 우점하는 인공형 하천수변
9,하천,H10,식생이 없는 인공형 하천
9,하천,H11,농업용수 공급을 위한 수로
9,하천,H12,주 하천으로 유입되는 소규모 하천
10,호소 및 습지,I1,인공 저수지
12,산림,J1,낙엽활엽수 자연림
12,산림,J2,침엽수 자연림
12,산림,J3,침활혼효 자연림
12,산림,J4,낙엽활엽수 인공림
12,산림,J5,침엽수 인공림
12,산림,J6,침활혼효 인공림
12,산림,J7,낙업활엽수 자연-인공림
12,산림,J8,침엽수 자연-인공림
12,산림,J9,침활혼효 자연-인공림
12,산림,J10,저고도 산지사면 내부에 형성된 습지
12,산림,J11,관목식생 우점 지역
12,산림,J12,산림 내 포함된 소규모체육시설 포함(배드민턴장 등)
12,산림,J13,산림 내 묘역 조성 지역
13,초지,K1,자연적으로 생성된 초지 혹은 자연초지화된 지역
13,초지,K2,골프장 등 인공조성 초지
14,경작지,L1,경작지 중 논으로 조성된 지역
14,경작지,L2,경작지 중 밭으로 조성된 지역
14,경작지,L3,경작지 중 과수원으로 조성된 지역
14,경작지,L4,경작지 중 시설재배지로 조성된 지역
14,경작지,L5,경작지 중 묘포장으로 조성된 지역
15,조성녹지,M1,자연식생이 존재하는 공원
15,조성녹지,M2,인공적으로 조성된 공원
15,조성녹지,M3,시설녹지
15,조성녹지,M4,수목원 및 식물원
16,나지 및 폐허지,N1,도시 내 유휴부지
